นิติบุคคลจัดตั้งเดือนกุมภาพันธ์  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์เดิม,ที่ตั้งสำนักงานใหญ่
1,0105558033575,บจ.โฮมสุขุมวิท จำกัด,23/2/2558," 800,000,000 ",ประกอบกิจการทำโครงการอาคารชุด คอนโดมิเนียม,269 ถนนหลานหลวง  แขวงวัดโสมนัส เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
2,0105558024550,บจ.ไม่ธรรมดาพาณิชย์ จำกัด,9/2/2558," 500,000,000 ",กิจกรรมเกี่ยวกับอสังหาริมทรัพย์ที่เป็นของตนเองหรือเช่าจากผู้อื่น,143 ซอยพระรามที่ 2 ซอย 50 ถนนพระรามที่ 2  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
3,0105558037091,บจ.เซอิกะ วายเคซี เซอร์คิท (ไทยแลนด์) จำกัด,27/2/2558," 484,000,000 ",บริหาร จัดการ ออกแบบ ผลิต ตัวแทน ประกอบ จำหน่าย นำเข้า ส่งออก แผงวงจรไฟฟ้าทุกชนิด และงานอื่น,2 อาคารจัสมินซิตี้ ชั้นที่ 25 ห้องเลขที่ 19 ซอยสุขุมวิท 23 (ประสานมิตร) ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
4,0105558034474,บจ.โพธิ์ภิวัฒน์ จำกัด,24/2/2558," 435,000,000 ",เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัด หรือ เข้าเป็นผู้ถือหุ้นในบริษัทเอกชนและมหาชน,5 ซอยเพชรเกษม 39 แยก 5  แขวงบางหว้า เขตภาษีเจริญ กรุงเทพมหานคร 10160
5,0105558019912,บจ.อิสสระ จุนฟา จำกัด,2/2/2558," 420,000,000 ",การซื้อ ขาย ถือกรรมสิทธิ์ จำนอง จำนำ รับจัดสรรที่ดินและบ้าน สังหาริมทรัพย์ พัฒนาที่ดิน ทรัพย์สินอื่น,2922/199 อาคารชาญอิสสระทาวเวอร์ 2 ชั้น 10 ถนนเพชรบุรีตัดใหม่  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
6,0105558036680,บจ.สยาม ทาคาชิมาย่า (ประเทศไทย) จำกัด,26/2/2558," 400,000,000 ",ประกอบกิจการห้างสรรพสินค้า ให้เช่าสถานที่ และบริการต่าง ๆ,989 อาคารสยามทาวเวอร์ ชั้นที่ 11 ยูนิต เอ 1/2 ถนนพระราม 1  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330
7,0105558020058,บจ.บีเอสเอส โฮลดิ้งส์ จำกัด,2/2/2558," 300,000,000 ",ประกอบกิจการบริการชำระเงินทางอิเล็กทรอนิกส์(ทั้งนี้จะต้องได้รับอนุญาตจากหน่วยงานที่เกี่ยวข้อง),21 อาคารทีเอสที ทาวเวอร์ ชั้น 19 ซอยเฉยพ่วง ถนนวิภาวดี-รังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
8,0105558021631,บจ.ยูเนี่ยนริเวอร์ไซด์ จำกัด,4/2/2558," 200,000,000 ",ซื้อขายให้เช่าสังหาริมทรัพย์และอสังหาริมทรัพย์,142 ซอยลาดพร้าว (จันทิมา) ถนนลาดพร้าว  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
9,0105558029675,บจ.ดีดีดี.เรียลเอสเตท (ประเทศไทย) จำกัด,17/2/2558," 200,000,000 ",ประกอบกิจการซื้อขายและจัดสรรที่ดิน รวมทั้งอสังหาริมทรัพย์อื่น,88/2694 หมู่ที่ 6 ถนนพระรามที่ 2  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
10,0105558027389,บจ.ซานตงเอนเนอร์จี เจ่าจวงไมนิ่งกรุ๊ป(ประเทศไทย) จำกัด,12/2/2558," 110,000,000 ",ประกอบกิจการส่งออกไม้ยางพาราแปรรูป,10 ชั้นที่ 3 ซอยบางนา-ตราด 25  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260
11,0105558030207,บจ.พี เพาเวอร์ แพลนท์ จำกัด,17/2/2558," 100,000,000 ",ประกอบกิจการโรงงานผลิต และจำหน่ายกระแสไฟฟ้า,19 ซอยรามคำแหง 22 (จิตตรานุเคราะห์) ถนนรามคำแหง  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
12,0105558022549,บจ.เจเอสพี โฟม โปรดักส์ (ประเทศไทย) จำกัด,5/2/2558," 80,000,000 ",ประกอบธุรกิจผลิต กลั่น พัฒนา นำเข้าส่งออก ซื้อขาย ค้าปลีกค้าส่ง ผลิตภัณฑ์วัสดุที่ทำจากโฟม ทุกประเภท,18/8 อาคารพีโก้ เพลส ชั้นที่ 3 ห้องเลขที่ 304 ถนนสุขุมวิท 21(อโศก)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
13,0105558025173,บจ.ไม่ธรรมดาพาณิชย์ อุบลราชธานี จำกัด,10/2/2558," 60,000,000 ",กิจกรรมเกี่ยวกับอสังหาริมทรัพย์ที่เป็นตนเองหรือเช่าจากผู้อื่น,143 ซอยพระรามที่ 2 ซอย 50 ถนนพระรามที่ 2  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
14,0105558037040,บจ.แคช คลับ คอร์เปอเรชั่น จำกัด,27/2/2558," 55,000,000 ",ประกอบกิจการให้กู้เงิน หรือให้ความช่วยเหลือทางการเงินในการซื้อขายทรัพย์สิน(เมื่อได้รับอนุญาตจากหน่วย,52/16 อาคารสีลมคอนโดมิเนียม ชั้นที่ 6 ซอยศาลาแดง 2 ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
15,0105558020554,บจ.เอชอาร์ โปร การ์ด  จำกัด,3/2/2558," 50,000,000 ",ประกอบธุรกิจด้านการบริการรักษาความปลอดภัย,898 อาคารเพลินจิตทาวเวอร์ ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
16,0105558022115,บจ.สบาย แคช อินเตอร์เนชั่นแนล จำกัด,5/2/2558," 50,000,000 ",ประกอบกิจการพาณิชย์อิเล็คทรอนิกส์ บริการด้านการชำระสินค้าและบริการผ่านระบบอิเล็คทรอนิกส์โดยใช้บัตรเค,518/5 อาคารมณียาเซ็นเตอร์ ชั้นที่ 6 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
17,0105558028008,บจ.วัน ทำ ดี จำกัด,12/2/2558," 50,000,000 ",ประกอบกิจการด้านวิทยุ และโทรทัศน์,50 อาคารจีเอ็มเอ็ม แกรมมี่ เพลส ถนนสุขุมวิท 21 (อโศก)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
18,0105558031742,บจ.เฟรนด์ลี่ เปเปอร์ แพลเลท จำกัด,19/2/2558," 50,000,000 ",ประกอบกิจการผลิตและจำหน่ายพาเลทกระดาษฯ พาลเลทจากวัสดุกระดาษและวัสดุอื่นๆ,39/5-7 ซอยสุขุมวิท 53  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
19,0105558025602,บจ.ซันกลาส ฮัท (ประเทศไทย) จำกัด,10/2/2558," 45,000,000 ",ซื้อ นำเข้า ส่งออก ทำการตลาด ขายปลีก แว่นตากันแดด ชิ้นส่วน อะไหล่ เครื่องมือ อุปกรณ์เสริม,999/9 ดิ ออฟฟิศเศส แอท เซ็นทรัลเวิลด์ ชั้นที่ 16 ห้องเลขที่ 1605 ถนนพระราม 1  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330
20,0105558023766,บจ.เลกาซี่ โกรท จำกัด,6/2/2558," 45,000,000 ",ประกอบกิจการด้านอสังหาริมทรัพย์ รวมถึงจัดการโดยประการใดๆ ตลอดจนดอกผลของทรัพย์สินนั้น,329 ซอยสุขุมวิท 63 (เอกมัย 19) ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
21,0105558027222,บจ.โอเรียนทอล ไซ-แอม แฟลกชิพ พร็อพเพอร์ตี้ จำกัด,12/2/2558," 40,000,000 ",ลงทุนในอสังหาริมทรัพย์,709/1 ถนนอ่อนนุช  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
22,0105558033036,บจ.กลอรี่ สตาร์ แอสเซ็ท จำกัด,20/2/2558," 34,000,000 ",การซื้อและการขายอสังหาริมทรัพย์ เพื่้อการค้า,215/62 ซอยสุขุมวิท 21(อโศก)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
23,0105558035802,บจ.ทีเอสวี กรุ๊ป จำกัด,25/2/2558," 30,000,000 ",ประกอบกิจการจัดสร้าง จัดทำ บริหารจัดการ ศูนย์การค้า ตลาด เป็นต้น เพื่อให้บุคคลภายนอกเข้า,333/150 หมู่บ้านการ์เด้นซิตี้ลากูน ซอยประชาชื่น 10  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210
24,0105558032340,บจ.แคมป์เบล ไซเอนทิฟิค เซาท์อีสท์ เอเชีย จำกัด,19/2/2558," 28,000,000 ",ขายเครื่องมือเกี่ยวกับสิ่งแวดล้อม อุตุนิยมวิทยา,877/22 เนอวานาแอทเวิร์ค ถนนพระราม 9  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
25,0105558024819,บจ.ชอบกิน จำกัด,9/2/2558," 26,000,000 ",ประกอกบกิจการภัตตาคารจำหน่ายอาหาร เครื่องดื่ม รวมทั้งสุรา เบียร์ บุหรี่ และยาสูบทุกชนิด,693 อาคารศูนย์การค้าเอ็มควอเทียร์ ชั้นที่ 7 ห้องเลขที่ 7เอ 05/เอ ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
26,0105558022689,บจ.โอเค ไลฟ์ กรุ๊ป จำกัด,5/2/2558," 20,000,000 ",ประกอบธุรกิจสถานที่แสดงงานศิลปกรรมและงานปฏิมากรรมทุกชนิด,600/58 ซอยรามคำแหง 39 (เทพลีลา 1)  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
27,0105558027869,บจ.แสงตะวัน โฮลดิ้ง จำกัด,12/2/2558," 20,000,000 ",ประกอบกิจการ ซื้อ ขาย ให้เช่าสังหาริมทรัพย์ อสังหาริมทรัพย์,6 ซอยนาคนิวาส 48 แยก 1 ถนนนาคนิวาส  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
28,0105558036868,บจ.สยาม อาราตะ จำกัด,27/2/2558," 20,000,000 ",ประกอบกิจการจัดหาสินค้าอุปโภคและบริโภคที่เกี่ยวข้องกับสุขภาพความงามให้แก่ตัวแทนผู้จัดจำหน่าย,54 อาคารบี.บี.บิลดิ้ง ชั้นที่ 8 ห้องเลขที่ 3823 ถนนสุขุมวิท 21 (อโศก)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
29,0105558019998,บจ.ปิยะ - ธรรม จำกัด,2/2/2558," 16,250,000 ",การซื้อ จัดหา รับ  เช่า ถือกรรมสิทธิ์ ครอบครอง ปรับปรุงใช้ และจัดการโดยประการอื่นซึ่งทรัพย์สินใดๆ,53 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
30,0105558025688,บจ.อัลธิมาเรเดียน จำกัด,10/2/2558," 14,000,000 ",ประกอบกิจการโรงพยาบาลเอกชน สถานพยาบาล,73 ถนนประชาอุทิศ  แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140
31,0103558003534,หจ.บุญทวี รับเบอร์,10/2/2558," 12,000,000 ",ประกอบกิจการค้ายางธรรมชาติ ยางสังเคราะห์ ยางทุกชนิดทุกประเภท,36/1 ซอยศุภราช 1 ถนนพหลโยธิน  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
32,0105558037473,บจ.ซิ้ลค์ แอ็คทีฟ จำกัด,27/2/2558," 11,000,000 ",ประกอบกิจการผลิตและจำหน่ายเครื่องสำอางและอาหารเสริมต่างๆ,58 ซอยหมู่บ้านคันทรี่วิลล่า ซอย 1 ถนนศรีนครินทร์  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250
33,0105558031785,บจ.บางกอก ดีล เรียลเอสเตท จำกัด,19/2/2558," 10,000,000 ",ให้เช่าห้องพัก รวมถึงการให้บริการอื่นๆ เช่นการให้บริการอาหารและ เครื่องดื่มที่จอดรถ,7/555 ซอยวิภาวดีรังสิต 17 ถนนวิภาวดีรังสิต  แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900
34,0105558035543,บจ.ไออาร์พีซี-พีซีซี จำกัด,25/2/2558," 10,000,000 ",ประกอบกิจการซื้อมาขายไปและนำเข้าและส่งออก,555/2 อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้น 7 ถนนวิภาวดีรังสิต  แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900
35,0105558037724,บจ.แคชแวน แมนเนจเม้นท์ จำกัด,27/2/2558," 10,000,000 ",ประกอบกิจการขนส่งและขนถ่ายสินค้า และคนโดยสารทั้งทางบก ทางน้ำ ทางอากาศทั้งภายในประเทศและระหว่างประเทศ,14 อาคารแสงโสม ถนนวิภาวดีรังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
36,0105558037732,บจ.ฟู้ด ออฟ เอเชีย จำกัด,27/2/2558," 10,000,000 ",ค้า การตลาด การขาย การจำหน่ายอาหารสด อาหารแห้ง อาหารสำเร็จรูป สุราเบียร์ทุกชนิด โซดา น้ำดื่ม,14 อาคารแสงโสม ถนนวิภาวดีรังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
37,0105558021399,บจ.สยาม พรีสเตรสเซด แมททีเรียล จำกัด,4/2/2558," 10,000,000 ",ผลิตและจำหน่ายเหล็กเส้นและเหล็กลวด เหล็กโครงสร้าง เหล็กรูปพรรณ,12 ซอยศูนย์วิจัย 3 ถนนเพชรบุรีตัดใหม่  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
38,0105558033044,บจ.ฮิวเทค (กรุงเทพ) จำกัด,20/2/2558," 10,000,000 ",เป็นศูนย์จัดซื้อจัดหาระหว่างประเทศสำหรับส่วนประกอบและชิ้นส่วนอุปกรณ์ไฟฟ้า และอิเลคทรอนิกส์,31 อาคารพญาไท ชั้นที่ 6 ห้อง 616 ถนนพญาไท  แขวงถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400
39,0105558032013,บจ.ดีเวียร์ (ประเทศไทย) จำกัด,19/2/2558," 10,000,000 ",ประกอบกิจการเข้าถือหุ้นในบริษัทจำกัดอื่น,140/36 อาคารไอทีเอฟ ทาวเวอร์ ชั้น 17 ถนนสีลม  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500
40,0105558021101,บจ.กรีนเน็กตาร์ จำกัด,3/2/2558," 10,000,000 ",จำหน่ายสินค้าเกษตรอินทรีย์ และผลิตสินค้าเกษตรอินทรีย์,242/4 ชั้นที่ 2 ถนนราษฎร์อุทิศ  แขวงแสนแสบ เขตมีนบุรี กรุงเทพมหานคร 10510
