นิติบุคคลจัดตั้งเดือนมีนาคม  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
1 ,0105558056681,บจ.เมโทรดีล จำกัด,31/3/2558," 970,000,000 ",ให้บริการพัฒนากลยุทธ์ทางธุรกิจสำหรับบริการพาณิชย์อิเล็กทรอนิคส์,9 อาคารภคินท์ ชั้น 12 ถนนรัชดาภิเษก  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
2 ,0105558043015,บจ.แดซเซิล พลัส ดีเวลลอปเมนท์ จำกัด,10/3/2558," 400,000,000 ",บริการรับเป็นที่ปรึกษาและให้คำแนะนำ งานด้านออกแบบ ด้านควบคุมการก่อสร้าง ด้านประเมินราคาก่อสร้างอาคาร,529/56 ซอยลาดพร้าว 126 (กรัณฑ์พร)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
3 ,0105558051611,บจ.เอเซี่ยน สกาย เอวิเอชั่น จำกัด,23/3/2558," 400,000,000 ",ดำเนินธุรกิจสายการบิน ธุรกิจการบิน การขนส่งทางอากาศ บริการให้เช่าเหมาลำเครื่องบินบริการนำส่งสินค้า,138/1 ถนนเพชรบุรี  แขวงถนนเพชรบุรี เขตราชเทวี กรุงเทพมหานคร 10400
4 ,0105558048785,บจ.จี เอ็น จี กรุ๊ป จำกัด,18/3/2558," 380,000,000 ",ประกอบกิจการโรงแรม ที่พัก จัดเลี้ยง สัมมนา จัดห้องประชุม อบรม และภัตตาคาร คลับเฮ้าส์,335/4 ถนนศรีนครินทร์  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250
5 ,0105558051620,บจ.เทรเชอร์ กรุ๊ป จำกัด,23/3/2558," 300,000,000 ",เข้าเป็นผู้ถือหุ้นในบริษัทจำกัดและบริษัทมหาชนจำกัด,138/1 ถนนเพชรบุรี  แขวงถนนเพชรบุรี เขตราชเทวี กรุงเทพมหานคร 10400
6 ,0107558000121,บมจ.แมคทริค จำกัด (มหาชน),30/3/2558," 250,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง รวมถึงปลูกสร้างอาคารชุด และประมูลเพื่อรับจ้างทำของตามวัตถุประสงค์ทั้งหมด,121/105 อาคารอาร์เอส ทาวเวอร์ ชั้นที่ 39 ถนนรัชดาภิเษก  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
7 ,0105558054939,บจ.พีทีเอฟ เรียลตี้ (2015) จำกัด,27/3/2558," 200,000,000 ",ประกอบกิจการค้าอสังหาริมทรัพย์ รวมทั้งอาคารชุด,140/46-47 อาคารไอทีเอฟ-ทาวเวอร์ ชั้นที่ 21 ถนนสีลม  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500
8 ,0105558048921,บจ.ซัน แคปปิตอล วัน จำกัด,18/3/2558," 200,000,000 ",ซื้อ ซื้อฝาก ขาย ขายฝาก แลกเปลี่ยน เช่าซื้อ ให้เช่าอสังหาริมทรัพย์ เป็นนายหน้าตัวแทน,441/4 ถนนนาคนิวาส  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
9 ,0105558047240,บจ.แอลแอนด์เอส (ประเทศไทย) จำกัด,16/3/2558," 199,130,000 ",ประกอบกิจการลงทุนในบริษัทจำกัดและบริษัทมหาชนใดๆ,14/1 อาคารสุวรรณทาวเวอร์ ซอยศาลาแดง 1 ถนนสาทรเหนือ  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
10 ,0105558040032,บจ.แคปปิตัล ซี จำกัด,5/3/2558," 150,000,000 ",ลงทุนในประเทศและต่างประเทศ,22 ซอยสมคิด ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
