นิติบุคคลจัดตั้งเดือนเมษายน  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน", ทุนจดทะเบียน ,รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
1,0105558063954,บจ.ดีที กรุ๊ป ออฟ คัมพะนีส์ คอร์ปอเรชั่น จำกัด,10/4/2558," 1,500,000,000 ",ประกอบธุรกิจพัฒนาอสังหาริมทรัพย์ และซื้อขาย และให้เช่าอสังหาริมทรัพย์,695 ซอยสุขุมวิท 50 ถนนสุขุมวิท  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110
2,0107558000148,บมจ.สหกลอิควิปเมนท์ จำกัด (มหาชน),3/4/2558," 1,000,000,000 ",ประกอบกิจการทำการสำรวจ และทำเหมืองแร่ทุกชนิด,47/10 ซอยอมรพันธ์ 4 ถนนวิภาวดีรังสิต  แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900
3,0107558000181,บมจ.ชีวาทัย จำกัด (มหาชน),24/4/2558," 580,000,000 ",ประกอบกิจการก่อสร้างโรงงาน คลังสินค้า ซื้อ ขาย เช่า และจัดการทรัพย์อันเกี่ยวกับโรงงาน คลังสินค้า,1168/80 อาคารลุมพินีทาวเวอร์ ชั้นที่ 27 ยูนิตดี ถนนพระรามสี่  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120
4,0105558062231,บจ.ไฮ ช็อปปิ้ง จำกัด,8/4/2558," 500,000,000 ",การขายปลีกโดยการรับสั่งสินค้าทางไปรษณีย์โทรทัศน์วิทยุ และโทรศัพท์,349 อาคารเอสเจ อินฟินิท วัน บิซิเนส คอมเพล็กซ์ ชั้นที่ 29 ถนนวิภาวดีรังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
5,0107558000156,บมจ.ไวส์ โลจิสติกส์ จำกัด (มหาชน),3/4/2558," 300,000,000 ",ประกอบกิจการตัวแทนนำเข้าส่งออก และตัวแทนออกของด้านพิธีการทางศุลกากรให้กับผู้ส่งออกและผู้นำเข้า,88/8 ถนนนนทรี  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120
6,0105558061013,บจ.ทเวลฟ์ มัลติพลาย แอสเซท จำกัด,7/4/2558," 300,000,000 ",ประกอบกิจการระดมทุนในกิจกรรมของบริษัทโฮลดิ้ง,22 ถนนพุทธบูชา  แขวงบางมด เขตจอมทอง กรุงเทพมหานคร 10150
7,0105558059973,บจ.รัชฎา พาวเวอร์ จำกัด,3/4/2558," 150,000,000 ",โครงการที่เกี่ยวข้องในพลังงานทดแทน,242 ซอยทวีวัฒนา 19/1 ถนนทวีวัฒนา  แขวงทวีวัฒนา เขตทวีวัฒนา กรุงเทพมหานคร 10170
8,0105558060521,บจ.ซอร์ริ่ง ไทเกอร์ จำกัด,7/4/2558," 120,000,000 ",ซื้อขายที่ดินโดยจัดหาที่ดินย่อยเพื่อปลูกสร้างอาคารบ้านเรือนอาคารสำนักงานสำหรับให้เช่า,419/1 ซอยลาดพร้าว 15  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
9,0105558068701,บจ.ศูนย์ไตเทียมฟ้าสั่ง จำกัด,23/4/2558," 100,000,000 ",บริการ บริหารจัดการ เป็นที่ปรึกษาและให้คำแนะนำทางการแพทย์และการรักษาโรคเกี่ยวกับไต ระบบไต การล้างไต,21 อาคารทีเอสที ชั้น 3 ซอยเฉยพ่วง ถนนวิภาวดีรังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
10,0105558069871,บจ.เค ที เอ็น พร็อพเพอร์ตี้ จำกัด,24/4/2558," 100,000,000 ",ให้เช่า ซื้อขายอสังหาริมทรัพย์,252/181-182-183 ซอยพหลโยธิน 32 ถนนพหลโยธิน  แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900
11,0105558057440,บจ.เจอาร์เอส ดีเวลลอปเม้นท์ จำกัด,1/4/2558," 100,000,000 ",ประกอบกิจการตัวแทนนายหน้า ซื้อ ขาย ให้เช่า เช่าซื้อ ขายฝาก จำนอง ที่ดินและอสังหาริมทรัพย์,11/228 ซอยรามคำแหง 44 (เลิศนิมิต) ถนนรามคำแหง  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
12,0105558072929,บจ.โอเรียนทอล ไซ-แอม ไบค์ เทรดดิ้ง (ประเทศไทย) จำกัด,30/4/2558," 100,000,000 ",ขายปลีกจักรยาน และอุปกรณ์เกี่ยวกับจักรยานทุกชนิด,709/1 ถนนอ่อนนุช  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
13,0105558070578,บจ.สินทรัพย์ 1024 จำกัด,27/4/2558," 100,000,000 ",ประกอบธุรกิจบริการรับเป็นที่ปรึกษาและให้คำแนะนำปัญหาเกี่ยวกับด้านการตลาด,100/43 อาคารว่องวานิช (ตึกบี) ชั้นที่ 18 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
14,0105558063555,บจ.วายเคเค เอพี (ประเทศไทย) จำกัด,10/4/2558," 100,000,000 ",ประกอบกิจการนำเข้าส่งออก จัดหาจัดซื้อ ผลิต จำหน่าย ติดตั้ง วงกบ ประตู หน้าต่าง รวมทั้งอุปกรณ์,55 อาคารเวฟเพลส ชั้น 13 ห้อง 1303 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
15,0105558066775,บจ.แอร์แทค อินดัสเทรียล จำกัด,21/4/2558," 100,000,000 ",ค้าส่งวัสดุอุปกรณ์ที่เกี่ยวกับการอุตสาหกรรมประเภทต่างๆรวมถึงอุปกรณ์อื่นๆที่เกี่ยวข้อง,98 อาคารสาทร สแควร์ ออฟฟิศ ทาวเวอร์ ชั้น 37 ถนนสาทรเหนือ  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
16,0105558072449,บจ.ทีเค เงินทันใจ จำกัด,29/4/2558," 50,000,000 ",ประกอบธุรกิจให้สินเชื่อรายย่อยเพื่อการประกอบอาชีพ (โดยมิได้รับฝากเงินหรือรับเงินจากประชาชนและใช้ประโ,71 ถนนรามคำแหง  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
17,0105558063539,บจ.พีเอ็ม เอสอี จำกัด,10/4/2558," 50,000,000 ",ประกอบกิจการบริษัทที่ถือหุ้นในบริษัทอื่น,1 พรีเมียร์คอร์เปอเรทปาร์ค ซอยพรีเมียร์ 2 ถนนศรีนครินทร์  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250
18,0105558068999,บจ.ประเสริฐศรี โฮลดิ้ง จำกัด,23/4/2558," 40,000,000 ",ประกอบกิจการค้าเครื่องเหล็ก,599/159 ตรอกวัดจันทร์ใน  แขวงบางโคล่ เขตบางคอแหลม กรุงเทพมหานคร 10120
19,0105558071302,บจ.อาร์แอลเอ็มดี จำกัด,28/4/2558," 40,000,000 ",การผลิตรองเท้า,43 ถนนนราธิวาสราชนครินทร์  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120
20,0105558058683,บจ.ภูเบศ แอสเสท จำกัด,2/4/2558," 30,000,000 ",ค้าที่ดินจัดสรรที่ดินซื้อขายรับซื้อฝากขายฝากที่ดินให้เช่าเช่าที่ดินพร้อมสิ่งปลูกสร้าง,86 ถนนบางขุนเทียน  แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150
21,0105558071396,บจ.เย็นฤดี เฮ้าส์ซิ่ง จำกัด,28/4/2558," 25,000,000 ",ประกอบกิจการอพาร์ทเม้นท์ให้เช่าห้องพัก,52/85 ถนนประชาอุทิศ  แขวงดอนเมือง เขตดอนเมือง กรุงเทพมหานคร 10210
22,0105558072562,บจ.เจริญกระดาษ จำกัด,29/4/2558," 22,000,000 ",เข้าเป็นหุ้นส่วนจำกัดความรับผิดชอบในห้างหุ้นส่วนจำกัด เป็นผู้ถือหุ้นในบริษัทเอกชนและบริษัทมหาชน,388 ถนนพระราม 9  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
23,0105558071191,บจ.ราวิชชี่ จำกัด,28/4/2558," 20,000,000 ",ประกอบกิจการให้บริการเกี่ยวกับสุขภาพและความงาม,777-779 ถนนลาดพร้าว  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
24,0105558065728,บจ.เจริญพัฒน์ภูมิ จำกัด,20/4/2558," 20,000,000 ",ประกอบกิจการค้าที่ดิน จัดสรรที่ดินเพื่อจำหน่ายและค้าอสังหาริมทรัพย์ทุกชนิด,81/549 ซอยประชาอุทิศ 79 ถนนประชาอุทิศ  แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140
25,0105558072601,บจ.เซ็นทรีก้า จำกัด,29/4/2558," 20,000,000 ",ขายสินค้า เครื่องอุปโภค บริโภค เครื่องสำอาง เครื่องใช้ในครัวเรือน ผลิตภัณฑ์เพื่อการเกษตร,12 ซอยพระยาสุเรนทร์ 35 ถนนพระยาสุเรนทร์  แขวงบางชัน เขตคลองสามวา กรุงเทพมหานคร 10510
26,0105558064551,บจ.อิโตคิ โมเดอร์นฟอร์ม จำกัด,16/4/2558," 15,000,000 ",ค้า ส่งออก เครื่องเคหภัณฑ์ เครื่องเรือนเฟอร์นิเจอร์ เครื่องใช้สำนักงาน รวมทั้งอุปกรณ์และอะไหล่,699 อาคารโมเดอร์นฟอร์มทาวเวอร์ ชั้นที่ 22 ถนนศรีนครินทร์  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
27,0105558067135,บจ.โอริโค่ แมนเนจเม้นท์ (ประเทศไทย) จำกัด,21/4/2558," 13,000,000 ",กิจกรรมของบริษัทโฮลดิ้งที่ลงทุนในธุรกิจการเงินเป็นหลัก,246 อาคารไทมส์ สแควร์ ห้องเลขที่ 15-01 ถนนสุขุมวิท ระหว่างซอย 12-14  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
28,0105558070233,บจ.อิควิลิเบรีย(ประเทศไทย) จำกัด,27/4/2558," 12,000,000 ",ให้บริการฝึกอบรมเพื่อพัฒนาทักษะในการทำงาน เช่น ทักษะด้านการสื่อสารอย่างมีประสิทธิภาพ การเป็นผู้นำ,209/1 อาคารเคทาวเวอร์ อาคารบี ชั้น 15 ยูนิต 3-4 ถนนสุขุมวิท 21(อโศก)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
29,0105558067119,บจ.เอ เอ เอ็ม จำกัด,21/4/2558," 10,000,000 ",เข้าเป็นผู้ถือหุ้นในบริษัทจำกัดและบริษัทมหาชนจำกัด และเป็นผู้ถือหน่วยลงทุนในกองทุนรวมลงทุนในกิจการใด,16 ซอยสุขุมวิท 5 ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
30,0105558067836,บจ.เนชั่นแนล เทรนนิ่ง แอนด์ เทคโนโลยี จำกัด,22/4/2558," 10,000,000 ",ประกอบกิจการสถาบันสอนทักษะสถาบันฝึกวิชาชีพสถาบันฝึกอบรม,318/38 ซอยสุขุมวิท 22 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
31,0105558062192,บจ.โฟร์ดับเบิ้ลยูดี วิชั่น จำกัด,8/4/2558," 10,000,000 ",ประกอบกิจการขายส่ง เคมีภัณฑ์  และผลิตเครื่องหอม เครื่องสำอาง และผลิตภัณฑ์ในห้องน้ำ,2 ถนนนราธิวาสราชนครินทร์  แขวงทุ่งวัดดอน เขตสาทร กรุงเทพมหานคร 10120
32,0105558070730,บจ.เอ็นคอนเน็ค จำกัด,27/4/2558," 10,000,000 ",ประกอบกิจการค้าอุปกรณ์คอมพิวเตอร์และอุปกรณ์ต่อพ่วงเกี่ยวกับคอมพิวเตอร์,938 ถนนบางบอน 3  แขวงหลักสอง เขตบางแค กรุงเทพมหานคร 10160
33,0105558071876,บจ.จีเนียส อินทิเกรเต็ด โซลูชั่น จำกัด,29/4/2558," 10,000,000 ",การจ่ายเชื้อเพลิงด้วยก๊าซ,1467 ถนนกาญจนาภิเษก  แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160
34,0105558071132,บจ.ไพร์ซ ดีเวลลอปเม้นท์ จำกัด,28/4/2558," 10,000,000 ",ค้าอาคารชุด จดทะเบียนอาคารชุด ซื้อ ขาย แลกเปลี่ยน เช่า ให้เช่า จดทะเบียนทรัพย์สินใดๆซึ่งอาคารชุด,18 ซอยรามอินทรา 5 แยก 23  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
35,0105558072139,บจ.ดีแคตตาล็อก จำกัด,29/4/2558," 10,000,000 ",ประกอบกิจการให้บริการประชาสัมพันธ์การจำหน่ายสินค้าผ่านสื่้อสิ่งพิมพ์,1 ซอยรามคำแหง60/4  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
36,0105558070527,บจ.บีซีจี จำกัด,27/4/2558," 10,000,000 ",ประกอบกิจการค้าวัสดุก่อสร้าง,88 อาคารเอ.พี.นครินทร์ ห้อง 8/3 ชั้นที่ 8 ซอยลาซาล 58  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260
37,0105558072651,บจ.โอโมริ (ประเทศไทย) จำกัด,29/4/2558," 10,000,000 ",ผลิต จำหน่าย นำเข้าส่งออก เช่า ให้เช่า บำรุงรักษา ซ่อมแซม ชิ้นส่วนและอุปกรณ์ของเครื่องจักร,1575/1 ถนนเพชรบุรีตัดใหม่  แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400
38,0105558063911,บจ.เจริญโภคภัณฑ์ แคปปิตอล จำกัด,10/4/2558," 10,000,000 ",ดำเนินการร่วมลงทุนและให้สินเชื่อแก่บริษัทอื่น  และจัดทำการออกบัตรประเภทต่างๆ,313 อาคารซี.พี.ทาวเวอร์ ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
39,0105558065965,บจ.ไทย เมอิวะ เทรดดิ้ง จำกัด,20/4/2558," 10,000,000 ",ค้าปลีก ค้าส่ง นำเข้า ส่งออก เคมีภัณฑ์ ยาง พลาสติก อาหาร เครื่องจักร โลหะ และสิ่งทอ,287 อาคารลิเบอร์ตี้ สแควร์ ชั้นที่ 14 ห้องเลขที่ 1401 ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
40,0105558071647,บจ.เจ อาร์ อี ดีเวลลอปเม้นท์ จำกัด,28/4/2558," 10,000,000 ",บริหารจัดการ อสังหาริมทรัพย์,323 อาคารยูไนเต็ดเซ็นเตอร์ ชั้นที่ 20 ห้องเลขที่ 2004 ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
41,0105558071809,บจ.ยิบอินซอย เอ็นเนอร์ยี จำกัด,29/4/2558," 10,000,000 ",ประกอบกิจการในธุรกิจพลังงานทดแทนในรูปแบบต่างๆ,521-523/1 ถนนมหาพฤฒาราม  แขวงมหาพฤฒาราม เขตบางรัก กรุงเทพมหานคร 10500
