นิติบุคคลจัดตั้งเดือนพฤษภาคม  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
1,0105558082134,บจ.เอ็นจีเค เซรามิคส์ (ประเทศไทย) จำกัด,19/5/2558," 2,700,000,000 ",ผลิตผลิตภัณฑ์เซรามิคส์,87 อาคารเอ็มไทย ทาวเวอร์ ออล ซีซั่นส์ เพลส ชั้นที่ 23 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
2,0105558079290,บจ.ชาเทรียมเรซิเดนซ์ สาธร จำกัด,14/5/2558," 2,000,000,000 ",ประกอบธุรกิจโรงแรม ที่พักและบริการด้านอาหาร,49 อาคารเอเซียเสริมกิจ ซอยพิพัฒน์(สีลม3) ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
3,0105558089015,บจ.อัมรินทร์ จีทีไอ จำกัด,29/5/2558," 1,001,000,000 ",ประกอบกิจการพัฒนาอสังหาริมทรัพย์พัฒนาปรับปรุงที่ดินเพื่อใช้ประกอบการภายในนิคมอุตสาหกรรม,202 อาคารเลอ คองคอร์ด ชั้นที่ 23 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
4,0107558000211,บมจ.อินเตอร์ลิ้งค์ เทเลคอม จำกัด (มหาชน),11/5/2558," 500,000,000 ",ประกอบกิจการโทรคมนาคมและให้บริการโทรคมนาคมทุกประเภท,48 ซอยรุ่งเรือง ถนนรัชดาภิเษก  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310
5,0107558000245,บมจ.อักษร เอ็ดดูเคชั่น จำกัด (มหาชน),20/5/2558," 375,000,000 ",ประกอบกิจการเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัด เป็นผู้ถือหุ้นในบริษัทจำกัดและบริษัทมหาชน,142 ซอยแพร่งสรรพศาสตร์ ถนนตะนาว  แขวงศาลเจ้าพ่อเสือ เขตพระนคร กรุงเทพมหานคร 10200
6,0105558076681,บจ.โอริโค่ ออโต้ ลีสซิ่ง (ประเทศไทย) จำกัด,8/5/2558," 277,000,000 ",กิจกรรมสัญญาเช่าทางการเงินสำหรับยานยนต์,246 อาคารไทมส์ สแควร์ ห้องเลขที่ 15-01 ถนนสุขุมวิท ระหว่างซอย12-14  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
7,0107558000253,บมจ.พี เอ อี เทคนิคอล เซอร์วิส จำกัด (มหาชน),25/5/2558," 150,000,000 ",ทำการตรวจสอบและทดสอบด้วยวิธีไม่ทำลาย เช่น การตรวจสอบและทดสอบด้วยคลื่นความถี่สูง,69 ซอยอ่อนนุช 64 ถนนศรีนครินทร์  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
8,0105558080344,บจ.ตงฮั้ว แคปปิตอล จำกัด,15/5/2558," 100,000,000 ",ประกอบกิจการให้เช่าทรัพย์สินแบบลิสซิ่ง,959 ถนนเจริญกรุง  แขวงตลาดน้อย เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100
9,0105558088621,บจ.ทีซีซี โฮลดิ้งส์ (2519) จำกัด,29/5/2558," 99,000,000 ",ประกอบกิจการเพื่อการลงทุน,290 ถนนสุรวงศ์  แขวงสี่พระยา เขตบางรัก กรุงเทพมหานคร 10500
10,0105558086041,บจ.ร่วมอิสสระ ดีเวล็อปเมนท์ จำกัด,25/5/2558," 90,000,000 ",ประกอบกิจการโรงแรม ที่พัก ร้านอาหาร,2922/196 อาคารชาญอิสสระ ทาวเวอร์ 2 ชั้น 10 ถนนเพชรบุรีตัดใหม่  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
11,0105558088001,บจ.สิงห์ อินเตอร์เนชั่นแนล โฮลดิ้ง จำกัด,28/5/2558," 50,000,000 ",ประกอบกิจการเป็นที่ปรึกษาการบริหารงาน วางแผน ประสานงาน ให้คำปรึกษาด้านการเงิน การตลาดระบบบัญชี,999 ถนนสามเสน  แขวงถนนนครไชยศรี เขตดุสิต กรุงเทพมหานคร 10300
12,0105558088698,บจ.อีเอซี โฮลดิ้ง จำกัด,29/5/2558," 50,000,000 ",กู้ยืมเงิน เบิกเงินเกินบัญชีจากธนาคาร นิติบุคคลหรือสถาบันการเงินอื่นและให้กู้ยืมเงินหรือให้เครดิต,976/1 ซอยโรงพยาบาลพระราม9 ถนนริมคลองสามเสน  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
