นิติบุคคลจัดตั้งเดือนมิถุนายน  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
1 ,0105558102712,บจ.ยั่งยืนทรัพย์ โฮลดิ้งส์ จำกัด,24/6/2558," 888,000,000 ",ซื้อ เช่า ให้เช่าซื้อ รวมทั้งรักจำนำ เช่า ให้เช่า อสังหาริมทรัพย์,21/49 ซอยรามอินทรา 34 แยก 19 ถนนรามอินทรา  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
2 ,0105558104146,บจ.อินเตอร์ ฟาร์อีสท์ แคป แมนเนจเม้นท์ จำกัด,26/6/2558," 500,000,000 ",ประกอบกิจการกำจัดน้ำเสียและบำบัดน้ำเสีย,33/4 อาคารเดอะไนน์ ทาวเวอร์ ชั้นที่ 29 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
3 ,0105558094663,บจ.คาเนกะ (ไทยแลนด์) จำกัด,11/6/2558," 263,400,000 ",ผลิต จำหน่าย นำเข้า ส่งออก เม็ดโฟมพลาสติก,1 อาคารกลาสเฮ้าส์ ชั้นที่ 12 ซอยสุขุมวิท 25 ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
4 ,0105558098294,บจ.ที ซี เวลท์ จำกัด,17/6/2558," 250,000,000 ",การซื้อ จัดหารับเช่า ถือกรรมสิทธิ์ ครอบครอง ปรับปรุงใช้และจัดการโดยประการอื่นซึ่งทรัพย์,589/157 อาคารเซ็นทรัลซิตี้ทาวเวอร์ ชั้นที่ 29 ถนนบางนา-ตราด  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260
5 ,0105558091494,บจ.กูลิโกะ โฟรเซ่น (ประเทศไทย) จำกัด,5/6/2558," 200,000,000 ",ประกอบกิจการซื้อ นำเข้า  ส่งออก ทำการตลาด และจำหน่าย ผลิตภัณฑ์อุปโภคบริโภค,898 อาคารเพลินจิตทาวเวอร์ ชั้น 4 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
6 ,0105558091532,บจ.โฮเอ เมทัล (ประเทศไทย) จำกัด,5/6/2558," 150,000,000 ",จัดซื้อจัดหาเศษเหล็กและเศษอลูมิเนียม,2 อาคารจัสมิน ชั้นที่ 12 ห้องเลขที่ 40 ซอยประสานมิตร (สุขุมวิท 23) ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
7 ,0105558090234,บจ.อุ๊คบี มอลล์ (ประเทศไทย) จำกัด,3/6/2558," 137,580,000 ",ประกอบกิจการการพาณิชย์อิเล็กทรอนิกส์เพื่อเป็นตลาดกลางในการซื้อขายสินค้าหรือบริการผ่านระบบเครือข่าย,1104/207-209 หมู่บ้านโนเบิลพัฒนาการ ถนนพัฒนาการ  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
8 ,0105558096151,บจ.เดนาลี เพรสทีจ จำกัด,15/6/2558," 100,000,000 ",ประกอบธุรกิจบริการให้คำปรึกษาทางธุรกิจ,57 อาคารปาร์คเวนเชอร์ อีโคเพล็กซ์ ชั้น 15 ห้อง 1511 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
9 ,0105558103255,บจ.ซีวีเค อควา เอ็นเนอร์ยี่ จำกัด,25/6/2558," 100,000,000 ",ผลิตและการส่งไฟฟ้า,121/68 อาคารอาร์เอสทาวเวอร์ ชั้นที่ 21 ถนนรัชดาภิเษก  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
10 ,0105558094744,บจ.บุญถาวรแอสเซท จำกัด,11/6/2558," 100,000,000 ",กิจกรรมเกี่ยวกับอสังหาริมทรัพย์,239 ถนนรัชดาภิเษก  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
