นิติบุคคลจัดตั้งเดือนกรกฎาคม  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
1,0105558121547,บจ.เอส เอสเตท คอมเมอร์เชียล อินเตอร์ จำกัด,24/7/2558," 4,062,000,000 ",ซื้อ ขาย แลกเปลี่ยน เช่า ให้เช่าที่ดิน อาคาร โรงเรือนและสิ่งปลูกสร้างทุกชนิด,968 อาคารอื้อจือเหลียง ชั้นที่ 20 ถนนพระรามที่ 4  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
2,0105558124031,บจ.เอส เอสเตท คอมเมอร์เชียล จำกัด,29/7/2558," 2,080,000,000 ",ซื้อ ขาย แลกเปลี่ยน เช่า ให้เช่าที่ดิน อาคาร โรงเรือนและสิ่งปลูกสร้างทุกชนิด,968 อาคารอื้อจือเหลียง ชั้นที่ 20 ถนนพระรามที่ 4  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
3,0105558115750,บจ.โปรฟู้ด โฮลดิ้ง จำกัด,15/7/2558," 845,454,000 ",เพื่อลงทุนในบริษัทอื่น,252 อาคารกรุงธนเมืองแก้ว ถนนสิรินธร  แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร 10700
4,0105558109431,บจ.สมาร์ท-ไอ โฮลดิ้งส์ จำกัด,6/7/2558," 800,000,000 ",ประกอบกิจการให้เช่าอาคารสำนักงาน,589/136 อาคารเซ็นทรัลซิตี้ทาวเวอร์ 1 ชั้น 24 ถนนบางนา-ตราด  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260
5,0107558000300,บมจ.เคพีเอ็น เฮลท์แคร์ จำกัด (มหาชน),8/7/2558," 550,626,250 ",ประกอบกิจการโรงพยาบาลเอกชน สถานพยาบาล,719 อาคารเคพีเอ็น ทาวเวอร์ ถนนพระราม 9  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
6,0105558117345,บจ.ซี.อาร์.ไอ.ดีเวลอปเม้นท์ จำกัด,17/7/2558," 400,000,000 ",ประกอบกิจการจำหน่ายให้เช่า ให้เช่าซื้ออสังหาริมทรัพย์ทุกชนิดรวมถึงประกอบกิจการค้าที่ดิน,1/29 ซอยสุขุมวิท 30 ถนนสุขุมวิท  แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110
7,0105558112360,บจ.สมุย ฮอสพิทอลลิตี้ จำกัด,9/7/2558," 400,000,000 ",ประกอบกิจการโรมแรม ให้บริการห้องพัก เช่าที่ว่างเพื่อการพาณิชย์,157 ถนนเพชรเกษม  แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160
8,0105558108192,บจ.ยัสปาล กรุ๊ป จำกัด,2/7/2558," 231,600,000 ",เข้าเป็นหุ้นส่วนจำพวกจำกัดความรับผิดในห้างหุ้นส่วนจำกัดหรือเข้าเป็นผู้ถือหุ้นในบริษัทเอกชนและบริษัทม,1054 ซอยสุขุมวิท 66/1 (ซอยพูนสิน) ถนนสุขุมวิท  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260
9,0105558121130,บจ.ไอร่า พร็อพเพอร์ตี้ จำกัด,23/7/2558," 200,000,000 ",กิจกรรมเกี่ยวกับธุรกิจอสังหาริมทรัพย์,319 อาคารจัตุรัสจามจุรี ชั้นที่ 12 ถนนพญาไท  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330
10,0105558119828,บจ.แฟนซี อินดัสทรี ไทย จำกัด,22/7/2558," 168,000,000 ",ประกอบกิจการผลิตจำหน่ายนำเข้าและส่งออกแปรรูปการวิจัยพัฒนา เครื่องถ่ายเอกสาร เครื่องพิมพ์,67 ซอยปากน้ำกระโจมทอง 39  แขวงบางพรม เขตตลิ่งชัน กรุงเทพมหานคร 10170
11,0105558122306,บจ.ฮิตาชิ เทอร์มินอล โซลูชั่นส์ (ประเทศไทย) จำกัด,27/7/2558," 111,000,000 ",ให้บริการซ่อมแซม บำรุงรักษา บริหารและควบคุมเครื่องรับจ่ายเงินอัตโนมัติและเครื่องจักรอุปกรณ์อื่่นๆ,952 อาคารรามาแลนด์ ชั้นที่ 13 ถนนพระรามสี่  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500
12,0105558110812,บจ.โฟตอน ออโตโมบิล (ประเทศไทย) จำกัด,7/7/2558," 102,000,000 ",ประกอบกิจการผลิตและจำหน่ายรถยนต์ รถบรรทุก รถตู้ ยานยนต์ทุกชนิด,99 ซอยเสรีไทย 56  แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร 10230
13,0105558123761,บจ.วิชั่น แอนด์ พาวเวอร์ จำกัด,29/7/2558," 100,000,000 ",ประกอบนำเข้าและส่งออกสินค้า เบรกเกอร์ โคมไฟ เครื่องสำอางค์ หลอดไฟแอลอีดี สัญญาณ สวิสไฟฟ้า,27/1 ซอยเจริญใจ  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
14,0105558119798,บจ.อเซลิซ (ประเทศไทย) จำกัด,22/7/2558," 100,000,000 ",ประกอบกิจการค้า ยา เภสัชภัณฑ์ เคมีภัณฑ์ และผลิตภัณฑ์ทางการแพทย์ทุกชนิด,1 อาคารเอ็มไพร์ ทาวเวอร์ ห้องเลขที่ 4703 ชั้น 47 ถนนสาทรใต้  แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120
15,0107558000296,บมจ.คิงส์เมน ซี.เอ็ม.ที.ไอ. จำกัด (มหาชน),1/7/2558," 100,000,000 ",ประกอบกิจการจัดดำเนินงาน รับบริหารงาน รับเป็นที่ปรึกษา,122/4 ถนนกรุงเทพกรีฑา  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
16,0105558110448,บจ.เดอะ ช้อยส์ เอสเตท จำกัด,7/7/2558," 100,000,000 ",ค้าอสังหาริมทรัพย์,65/218 อาคารชำนาญเพ็ญชาติ บิสเน็ต เซ็นเตอร์ ชั้นที่ 26 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
17,0105558112408,บจ.รอยัล โอเรียนทัล เอ็นเนอร์จี จำกัด,9/7/2558," 100,000,000 ",การผลิตและการส่งไฟฟ้า,470 ซอยลาดพร้าว87(จันทราสุข)  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
18,0105558108982,บจ.ลิงค์ เน็ตเวิร์ค (ประเทศไทย) จำกัด,3/7/2558," 100,000,000 ",จำหน่ายสินค้า,121 อาคารดับเบิ้ลยูทีเอช ถนนวิภาวดีรังสิต  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
19,0105558114460,บจ.บีทีเอส แสนสิริ โฮลดิ้ง เซเว่น จำกัด,14/7/2558," 100,000,000 ",ประกอบกิจการพัฒนาอสังหาริมทรัพย์,475 อาคารสิริภิญโญ ชั้น 8 ถนนศรีอยุธยา  แขวงถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400
20,0105558121083,บจ.วิคเตอร์ โลจิสติกส์ จำกัด,23/7/2558," 80,000,000 ",ประกอบกิจการรับเป็นที่ปรึกษาและให้คำแนะนำด้านการนำเข้าและส่งออกตามพิธีศุลกากร,71/26 ถนนบรมราชชนนี  แขวงอรุณอมรินทร์ เขตบางกอกน้อย กรุงเทพมหานคร 10700
21,0105558111894,บจ.45 พร็อพเพอร์ตี้ จำกัด,9/7/2558," 60,000,000 ",จัดสรรที่ดิน ทำบ้านจัดสรร อาคารชุด อาคารพาณิชย์ ขายบุคคลทั่วไป,598/11 ถนนอโศก-ดินแดง  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
22,0105558118317,บจ.เอสวายเอส ดีเวลลอปเม้นท์ จำกัด,20/7/2558," 55,000,000 ",ประกอบกิจการซื้อขายให้เช่าอสังหาริมทรัพย์และสังหาริมทรัพย์ทุกประเภท,138/1 ถนนเพชรบุรี  แขวงถนนเพชรบุรี เขตราชเทวี กรุงเทพมหานคร 10400
