นิติบุคคลจัดตั้งเดือนสิงหาคม  2558,,,,,,,,
ทั่วประเทศ,,,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
1,0107558000318,บมจ.เฟรเกรนท์ พร็อพเพอร์ตี้ จำกัด (มหาชน),3/8/2558," 1,500,000,000 ",ประกอบกิจการซื้อ จัดหา เช่า ปรับปรุง ซึ่งอสังหาริมทรัพย์,1550 อาคารธนภูมิ ชั้นที่ 31 ถนนเพชรบุรีตัดใหม่  แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400,,
2,0105558127618,บจ.ไทย แมกซ์คอน อุตสาหกรรม จำกัด,6/8/2558," 618,000,000 ",โรงงานผลิตอิฐ และ ผนังมวลเบา,555 ถนนนวมินทร์  แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240,,
3,0105558127448,บจ.อินเตอร์ ฟาร์อีสท์ โซล่าร์ จำกัด,6/8/2558," 300,000,000 ",ก่อสร้างโรงงานผลิตไฟฟ้าและผลิตกระแสไฟฟ้าจากพลังงานทดแทนเพื่อขายส่ง,33/4 อาคารเดอะไนน์ ทาวเวอร์ ชั้นที่ 29 ถนนพระราม 9 แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
4,0105558128231,บจ.โปรไฟว์ บิสซิเนส จำกัด,7/8/2558," 197,184,500 ",วัตถุประสงค์เพื่อกิจกรรมการลงทุน,20/164 หมู่บ้านอิ่มอัมพร 2 ซอยราชพฤกษ์ 9  แขวงบางเชือกหนัง เขตตลิ่งชัน กรุงเทพมหานคร 10170,,
5,0105558127316,บจ.ไม่ธรรมดาพาณิชย์ ซี.เอ็ม. จำกัด,6/8/2558," 152,000,000 ",กิจกรรมเกี่ยวกับอสังหาริมทรัพย์ที่เป็นของตนเองหรือเช่าจากผู้อื่น,143 ซอยพระรามที่ 2 ซอย 50 ถนนพระรามที่ 2 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,,
6,0107558000369,บมจ.ที.เอ.ซี. คอนซูเมอร์ จำกัด (มหาชน),26/8/2558," 152,000,000 ",ประกอบกิจการโรงงานผลิตอาหารและเครื่องดื่มทุกชนิด,9/231-233 อาคารยูเอ็มทาวเวอร์ ชั้นที่ 23 ถนนรามคำแหง  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,,
7,0105558133367,บจ.เกมบอล (ไทยแลนด์) จำกัด,18/8/2558," 100,000,000 ",ประกอบกิจการผลิต จำหน่าย นำเข้าส่งออก แปรรูป ผลิตภัณฑ์สัตว์ ผลิตภัณฑ์พืชและผลผลิตอาหารทะเล,67 ซอยปากน้ำกระโจมทอง 39  แขวงบางพรม เขตตลิ่งชัน กรุงเทพมหานคร 10170,,
8,0105558132077,บจ.ซูชิ เอ็กซ์เพรส (ไทยแลนด์) จำกัด,17/8/2558," 100,000,000 ",จำหน่ายอาหารและเครื่องดื่มที่มีแอลกอฮอล์,28 ชั้นที่ 3 ซอยนวมินทร์ 74 แยก 3-8  แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230,,
9,0105558125186,บจ.โอเมก้า เมทัล จำกัด,3/8/2558," 100,000,000 ",ผลิตภัณฑ์งานปั้มขึ้นรูปผลิตภัณฑ์โลหะหล่อ,701/805 ซอยพัฒนาการ 30  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,,
10,0105558125879,บจ.โรงพยาบาลกรุงเทพเชียงราย จำกัด,4/8/2558," 100,000,000 ",ประกอบกิจการโรงพยาบาลเอกชนสถานพยาบาลรับตรวจรักษาคนไข้,2 ซอยศูนย์วิจัย 7 ถนนเพชรบุรีตัดใหม่  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,,
