นิติบุคคลจัดตั้งเดือนกันยายน  2558,,,,,,,,
ทั่วประเทศ,,,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
1,0107558000385,บมจ.บ้านปู เพาเวอร์ จำกัด (มหาชน),10/9/2558," 19,956,920,000 ",ประกอบธุรกิจเกี่ยวกับพลังงานไฟฟ้าอันได้แก่ ซื้อ ขาย สำรวจ พัฒนา จัดหา,1550 อาคารธนภูมิ ชั้นที่ 26 ถนนเพชรบุรีตัดใหม่  แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400,,
2,0105558144997,บจ.เหมราช เอ็นเนอร์ยี่ 2 จำกัด,7/9/2558," 4,481,000,000 ",เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัด เป็นผู้ถือหุ้นในบริษัทจำกัดและบริษัทมหาชนจำกัด,9 อาคารยูเอ็มทาวเวอร์ ชั้นที่ 18 ถนนรามคำแหง แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,,
3,0105558153899,บจ.เหมราช เอ็นเนอร์ยี่ 3 จำกัด,22/9/2558," 4,481,000,000 ",การเข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัด เป็นผู้ถือหุ้นในบริษัทและบริษัทมหาชนจำกัด,9 อาคารยูเอ็มทาวเวอร์ ชั้น18 ถนนรามคำแหง  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,,
4,0105558149409,บจ.อี.ที. พร็อพเพอร์ตี้ จำกัด,14/9/2558," 1,600,000,000 ",ประกอบกิจการให้เช่า การขาย การซื้อและดำเนินงานด้านอสังหาริมทรัพย์,87 ซอยนาทอง ถนนรัชดาภิเษก  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400,,
5,0107558000377,บมจ.ยูนิเวอร์แซล ยูทีลิตี้ส์ จำกัด (มหาชน),9/9/2558," 930,000,000 ",ประกอบกิจการผลิตและจำหน่ายน้ำสะอาด น้ำจืดจากทะเล,1 อาคารอีสท์วอเตอร์ ชั้นที่ 23-25 ซอยวิภาวดีรังสิต 5  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
6,0105558145268,บจ.ไม่ธรรมดาพาณิชย์ บี.เอ็น. จำกัด,8/9/2558," 470,000,000 ","กิจกรรมเกี่ยวกับอสังหาริมทรัพย์ที่เป็นของตนเอง
หรือเช่าจากผู้อื่น",143 ซอยพระรามที่ 2 ซอย 50 ถนนพระรามที่ 2  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,,
7,0105558145063,บจ.ดาราฮาร์เบอร์ จำกัด,7/9/2558," 400,000,000 ",ประกอบกิจการพัฒนาและลงทุนในที่ดินและอสังริมทรัพย์ทุกประเภท,100/1 อาคารวรสมบัติ ชั้นที่ 17 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
8,0105558147627,บจ.รัชดา บิสสิเนส ดีสตริค จำกัด,10/9/2558," 400,000,000 ",พัฒนาธุรกิจด้านอสังหาริมทรัพย์,29 อาคารบางกอกบิสซิเนสเซ็นเตอร์ ชั้นที่ 23 ซอยสุขุมวิท 63 (เอกมัย)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
9,0105558151900,บจ.วี.เอส.เมดิคอล จำกัด,18/9/2558," 300,000,000 ",ประกอบกิจการโรงพยาบาลเอกชน,2677 ถนนพัฒนาการ  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,,
10,0107558000393,บมจ.ออลล่า จำกัด (มหาชน),17/9/2558," 300,000,000 ",ประกอบกิจการนำเข้า จำหน่าย เครนไฟฟ้า ประตูอุตสาหกรรม และโรงงานประกอบโครงเหล็ก,"933, 935, 937, 939 ซอยอ่อนนุช 46 ถนนอ่อนนุช  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250",,
