นิติบุคคลจัดตั้งเดือนตุลาคม  2558,,,,,,,,
ทั่วประเทศ,,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
1,0105558158777,บจ.ณุศา พาวเวอร์ จำกัด,1/10/2558," 2,800,000,000 ",ประกอบกิจการเป็นผู้ผลิต จำหน่าย เป็นตัวแทนจำหน่ายไฟฟ้าจากพลังงานทุกชนิดทุกประเภท,29 อาคารบางกอกบิสซิเนส เซ็นเตอร์ ชั้นที่ 30 ซอยสุขุมวิท 63 (เอกมัย)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
2,0105558160135,บจ.อีสเทิร์น เว็ลธ์ จำกัด,2/10/2558," 1,800,000,000 ",ประกอบกิจการพัฒนาและลงทุนในที่ดินและอสังหาริมทรัพย์ทุกประเภท,"729,731,733 ถนนมหาไชย  แขวงวังบูรพาภิรมย์ เขตพระนคร กรุงเทพมหานคร 10200",,
3,0105558162227,บจ.เอส 71 โฮลดิ้ง จำกัด,7/10/2558," 1,100,000,000 ",ประกอบกิจการเข้าเป็นผู้ถือหุ้นในบริษัทจำกัดและบริษัทมหาชนจำกัดอื่น,719 อาคารมั่นคงเคหะการ ถนนบรรทัดทอง  แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330,,
4,0105558170319,บจ.รื่อ หวง เอนเนอร์จี่ เทคโนโลยี จำกัด,21/10/2558," 1,000,000,000 ",ประกอบกิจการโรงไฟฟ้าพลังงานแสงอาทิตย์ โรงไฟฟ้าโซล่าเซลล์,59/3 ซอยโรงเรียนคลองลำเจียก  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240,,
5,0107558000423,บมจ.ไทยวา จำกัด (มหาชน),1/10/2558," 880,420,930 ",ประกอบกิจการค้า ผลิต จำหน่าย นำเข้า ส่งออกผลิตภัณฑ์ที่ทำจากข้าว มันสำปะหลัง,"21/59, 21/63-64 อาคารไทยวา 1 ชั้นที่ 20-21 ถนนสาทรใต้  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120",,
6,0107558000431,บมจ.บีที เวลธ์ อินดัสตรีส์ จำกัด (มหาชน),15/10/2558," 410,000,000 ",ประกอบกิจการโรงงานผลิตอุปกรณ์เครื่องจักร,593/3 ซอยรามคำแหง 39 (เทพลีลา 1) ถนนรามคำแหง  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,,
7,0105558163762,บจ.เซ็นทรัล เดอะวันคาร์ด จำกัด,9/10/2558," 200,000,000 ",จำหน่ายเครื่องอุปโภคและบริโภค และถือหุ้นในนิติบุคคลอื่น,306 ถนนสีลม  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500,,
8,0105558173539,บจ.ซันหลง บาส ยูเนียน (ไทยแลนด์) จำกัด,29/10/2558," 200,000,000 ",ประกอบกิจการผลิต จำหน่าย รถทัวร์ รถสิบล้อ รถยนต์ทุกชนิดทุกประเภท,67 ซอยปากน้ำกระโจมทอง 39  แขวงบางพรม เขตตลิ่งชัน กรุงเทพมหานคร 10170,,
9,0105558159650,บจ.กลุ่มเกษมการค้า จำกัด,2/10/2558," 162,000,000 ",ประกอบกิจการค้ากระจก อลูมิเนียม ยิบซั่ม,29 ซอยพระรามที่ 3 ซอย 59 ถนนพระรามที่ 3  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,,
10,0105558170190,บจ.ณุศา พัทยา คอนโดมิเนียม จำกัด,21/10/2558," 150,000,000 ",ประกอบกิจการซื้อขาย โอน รับโอน จัดสรรที่ดิน,29 อาคารบางกอกบิสซิเนส เซ็นเตอร์ ซอยสุขุมวิท 63 (เอกมัย)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
11,0105558172893,บจ.นิวแมน กรีน จำกัด,28/10/2558," 150,000,000 ",ประกอบกิจการของบริษัทโฮลดิ้งที่ไม่ได้ลงทุนในธุรกิจการเงินเป็นหลัก,140/1 ถนนกาญจนาภิเษก  แขวงบางแค เขตบางแค กรุงเทพมหานคร 10160,,
12,0105558171676,บจ.เทนาริส โกลบอล เซอร์วิสเซส (ไทยแลนด์) จำกัด,26/10/2558," 100,000,000 ",ประกอบธุรกิจนำเข้าส่งออก ค้าปลีกผลิตภัณฑ์ท่อไร้รอยต่อ ท่อเหล็กไร้รอยต่อและท่อปลอก ท่อเจาะ ท่อเคลือบ,349 อาคารเอสเจ อินฟินิท วัน บิสซิเนส คอมเพล็กซ์ ชั้นที่ 20 ห้องเลขที่ 2023 ถนนวิภาวดีรังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
13,0105558161166,บจ.เบสท์เทคอินดัสตรีส์ จำกัด,6/10/2558," 100,000,000 ",ประกอบโครงสร้างเหล็ก,593/3 ซอยรามคำแหง 39(เทพลีลา1) ถนนรามคำแหง  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,,
14,0105558169418,บจ.โกลบอลอินดัสเตรียลแอสเซท จำกัด,21/10/2558," 100,000,000 ",ประกอบกิจการให้เช่าทรัพย์สิน,593/3 ซอยรามคำแหง 39 (เทพลีลา 1) ถนนรามคำแหง  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,,
15,0105558163827,บจ.วิสาหกิจไทยเพื่อสังคม จำกัด,9/10/2558," 100,000,000 ",ประกอบกิจการค้า บริการ ผลิต จำหน่ายและจัดฝึกอบรม ผลิตภัณฑ์ระบบผลิตไฟฟ้าจากพลังงานแสงอาทิตย์,2/4 อาคารนายเลิศทาวเวอร์ ชั้น 4 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
16,0105558161239,บจ.ทรุ้มพ์ฟ จำกัด,6/10/2558," 100,000,000 ",ดำเนิน(1)ธุรกิจผลิต ประกอบ จำหน่าย นำเข้า ส่งออก ขายส่ง ขายปลีก ซึ่ง(ก)เครื่องจักร อุปกรณ์ อะไหล่,20 อาคารบุปผจิต ชั้น 7 ถนนสาทรเหนือ  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,,
