นิติบุคคลจัดตั้งเดือนพฤศจิกายน  2558,,,,,,,,
ทั่วประเทศ,,,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
1,0105558180284,บจ.เอสเอชแอล คอร์ป จำกัด,11/11/2558," 1,200,000,000 ",บริการด้านการบริหาร ด้านเทคนิค บริการสนับสนุนอื่นๆไม่จำกัดเพียงการให้บริการเกี่ยวกับการบริหารงานทั่ว,68 ถนนทรัพย์  แขวงสี่พระยา เขตบางรัก กรุงเทพมหานคร 10500,,
2,0105558187378,บจ.ลิ้ม สุกาญจนพงษ์ พร็อพเพอร์ตี้ จำกัด,26/11/2558," 749,823,300 ",ประกอบธุรกิจเพื่อลงทุนพัฒนา และบริหารจัดการอสังหาริมทรัพย์ ที่ดินและสิ่งปลูกสร้าง รวมถึงซื้อ ขาย,924 ถนนพระราม 9  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,,
3,0105558187581,บจ.ณุศา ศรีราชา แกรนด์ ซีวิว จำกัด,26/11/2558," 512,000,000 ",ประกอบกิจการซื้อขาย โอน รับโอน จัดสรรที่ดิน,29 อาคารบางกอกบิสซิเนส เซ็นเตอร์ ชั้นที่ 30 ซอยสุขุมวิท 63 (เอกมัย)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
4,0107558000458,บมจ.ออลล์ อินสไปร์ ดีเวลลอปเม้นท์ จำกัด (มหาชน),20/11/2558," 410,000,000 ",ประกอบธุรกิจพัฒนาอสังหาริมทรัพย์ ซื้อ ขาย เช่า ให้เช่า,18/71 ถนนมอเตอร์เวย์  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250,,
5,0105558187271,บจ.จินดาสุข โฮลดิ้ง จำกัด,26/11/2558," 400,000,000 ",ทำการลงทุนในตราสารทุน และ ตราสารหนี้ ทุกชนิด ทุกประเภท,97-99 ถนนมหาจักร  แขวงวัดเทพศิรินทร์ เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100,,
6,0105558184263,บจ.ซีพีอาร์เอ็น (ประเทศไทย) จำกัด,20/11/2558," 350,100,000 ",เข้าเป็นหุ้นส่วนจำกัดความรับผิดและหุ้นส่วนไม่จำกัดความรับผิดในห้างหุ้นส่วนหรือเป็นผู้ถือหุ้นในบริษัท,2 อาคารเพลินจิตเซ็นเตอร์ ชั้น จี ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
7,0105558186835,บจ.ประเสริฐกิจการเกษตร จำกัด,25/11/2558," 350,000,000 ",ประกอบกิจการเกี่ยวกับการเษตร,55 ซอยสิริธร 9  แขวงบางบำหรุ เขตบางพลัด กรุงเทพมหานคร 10700,,
8,0105558179189,บจ.ไม่ธรรมดาพาณิชย์ อาร์.ไอ. จำกัด,10/11/2558," 321,000,000 ",กิจกรรมเกี่ยวกับอสังหาริมทรัพย์ที่เป็นของตนเองหรือเช่าจากผู้อื่น,143 ซอยพระรามที่ 2 ซอย 50 ถนนพระรามที่ 2  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,,
9,0105558183429,บจ.แรบบิทเพย์ ซิสเทม จำกัด,18/11/2558," 250,000,000 ",ประกอบธุรกิจบัตรเงินอิเล็กทรอนิกส์(ทั้งนี้จะต้องได้รับอนุญาตจากหน่วยงานที่เกี่ยวข้อง),21 อาคารทีเอสที ทาวเวอร์ ชั้น 19 ซอยเฉยพ่วง ถนนวิภาวดี-รังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
10,0105558179138,บจ.ไม่ธรรมดาพาณิชย์ อาร์.พี. จำกัด,10/11/2558," 236,000,000 ",กิจกรรมเกี่ยวกับอสังหาริมทรัพย์ที่เป็นของตนเองหรือเช่าจากผู้อื่น,143 ซอยพระรามที่2 ซอย 50 ถนนพระรามที่2 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,,
11,0105558179553,บจ.ณุศา ชีวานี่ ภูเก็ต จำกัด,10/11/2558," 200,000,000 ",ประกอบกิจการซื้อขาย โอน รับโอน จัดสรรที่ดิน เช่า หรือให้เช่า ที่ดินพร้อมสิ่งปลูกสร้าง โรงแรม คอนโด,29 อาคารบางกอกบิสซิเนส เซ็นเตอร์ ชั้นที่ 30 ซอยสุขุมวิท 63 (เอกมัย)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
12,0105558188544,บจ.เอสเอ็ม พรอพเพอร์ พลัส จำกัด,30/11/2558," 200,000,000 ",ประกอบกิจการค้าอสังหาริมทรัพย์,2/1 ซอยเทียนทะเล 10 ถนนบางขุนเทียน-ชายทะเล  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,,
13,0105558188803,บจ.โอจีพี เอนเนอร์ยี่ โซลูชั่นส์ จำกัด,30/11/2558," 200,000,000 ",ประกอบกิจการบริหารจัดการด้านพลังงานและการบริการที่เกี่ยวกับพลังงาน,55 อาคารเวฟเพลส ชั้นที่ 10 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
14,0105558184379,บจ.รีสอร์ทไลฟ์ จำกัด,20/11/2558," 187,000,000 ",ประกอบกิจการโรงแรม รวมทั้งกิจการที่เกี่ยวข้องกับกิจการโรงแรมทุกชนิด,689 อาคารภิรัชทาวเวอร์ แอ๊ดเอ็มควอเทียร์ ชั้นที่ 19 ห้องเลขที่ 1907-1908 ซอยสุขุมวิท 35 ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
15,0105558181485,บจ.ณุศา ลายา คอนโดมิเนียม จำกัด,13/11/2558," 145,000,000 ",ซื้อ ขาย โอน รับโอน จัดสรรที่ดิน เช่า หรือ ให้เช่า ที่ดินพร้อมสิ่งปลูกสร้าง โรงแรม คอนโดมิเนียม,29 อาคารบางกอกบิสซิเนส เซ็นเตอร์ ชั้นที่ 30 ซอยสุขุมวิท 63 (เอกมัย)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
16,0105558188170,บจ.ฉัตรกวีวัฒนา จำกัด,27/11/2558," 100,000,000 ",ประกอบกิจการขาย โอน จำนอง จำนำ แลกเปลี่ยน และจำหน่ายทรัพย์สินโดยประการอื่น ที่ดิน บ้านจัดสรร,440 ถนนบางขุนเทียน-ชายทะเล  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,,
17,0105558182376,บจ.ชิน เรสซิเดนซ์ จำกัด,17/11/2558," 100,000,000 ",ประกอบกิจการโรงแรม ห้องพัก ห้องสัมมนา จัดเลี้ยง ภัตตาคาร ร้านอาหาร นวดสปา ฟิตเนส สระว่ายน้ำ,35/311 ถนนประดิษฐ์มนูธรรม  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230,,
18,0105558177321,บจ.บี.กริม โซลาร์ เพาเวอร์ 1 จำกัด,5/11/2558," 100,000,000 ",ประกอบธุรกิจเกี่ยวกับพลังงานไฟฟ้า ไอน้ำ พลังงานแสงงแสงอาทิตย์,5 ถนนกรุงเทพกรีฑา  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,,
19,0105558184972,บจ.โซเนีย ฮอสพิแทลลิที แอนด์ เลชเชอร์ จำกัด,23/11/2558," 100,000,000 ",ประกอบธุรกิจก่อสร้าง และซื้อขาย คอนโดมิเนียม บ้านจัดสรร อพาร์ทเม้นท์ อพาร์ทเม้นท์เซอร์วิส โรงแรม,134/14 ซอยลาดพร้าว 80 (จันทิมา)  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,,
20,0105558174985,บจ.มาตาสิริ จำกัด,2/11/2558," 90,000,000 ",ประกอบกิจการโรงแรม,1029/8-10 ถนนพหลโยธิน  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,,
21,0105558175256,บจ.ฟอร์ท เวนดิ้ง จำกัด,2/11/2558," 80,000,000 ",จำหน่ายสินค้าผ่านตู้สินค้าอัจริยะ,1053/1 ถนนพหลโยธิน  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,,
22,0105558185243,บจ.ลาซาด้า ไอเอชคิว จำกัด,23/11/2558," 60,000,000 ",การให้คำปรึกษาแนะแนวและช่วยเหลือในการดำเนินงานเกี่ยวกับการวางแผนกลยุทธ์,689 อาคารภิรัชทาวเวอร์ ห้องเลขที่ 2801 ชั้นที่ 28 ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
23,0105558176791,บจ.นิปปอน ฟาร์ม (ไทยแลนด์) จำกัด,4/11/2558," 36,000,000 ",ค้าส่ง ค้าปลีก นำเข้าและส่งออก ซึ่งผลิตภัณฑ์ทุกชนิดทุกประเภทที่เกี่ยวกับการเกษตรและการปศุสัตว์,45 ซอยปรียานุช (พระราม 9 ซอย 19) ถนนพระราม 9  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,,
