นิติบุคคลจัดตั้งเดือนธันวาคม  2558,,,,,,
ทั่วประเทศ,,,,,,
,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
1,0107558000482,บมจ.บริหารสินทรัพย์ กรุงเทพพาณิชย์ จำกัด (มหาชน),25/12/2558," 16,225,000,000 ",รับซื้อรับโอนสินทรัพย์ด้อยคุณภาพของสถาบันการเงิน และบริหารสินทรัพย์,99 ถนนสุรศักดิ์  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
2,0107558000491,บมจ.ทางด่วนและรถไฟฟ้ากรุงเทพ จำกัด (มหาชน),30/12/2558," 15,285,000,000 ",ประกอบกิจการกก่อสร้าง ดำเนินการและบำรุงรักษาทางพิเศษ ระบบรถราง รถไฟ รถไฟฟ้า,587 ถนนสุทธิสารวินิจฉัย  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
3,0105558189338,บจ.มิชลิน ไทย โฮลดิ้ง จำกัด,1/12/2558," 5,095,500,000 ",ประกอบกิจการถือหุ้นในบริษัทอื่น และกิจการลงทุน,252 ถนนพหลโยธิน  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
4,0107558000474,บมจ.อิงเกรส อินดัสเตรียล (ไทยแลนด์) จำกัด (มหาชน),9/12/2558," 1,446,942,690 ",เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัด หรือถือหุ้นในบริษัทจำกัด,9/141 อาคารยูเอ็ม ทาวเวอร์ ชั้นที่ 14 ยูนิต เอ 1 ถนนรามคำแหง  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
5,0105558198981,บจ.ทีซีซีซีแอล มิลาน จำกัด,28/12/2558," 1,120,000,000 ",ประกอบกิจการด้านการพัฒนาอสังหาริมทรัพย์,1 อาคารเอ็มไพร์ทาวเวอร์ ชั้นที่ 54 ถนนสาทรใต้  แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120
6,0105558197683,บจ.เคเอสพีเคเอช โฮลดิ้ง จำกัด,23/12/2558," 638,000,000 ",ซื้อ จัดหา เช่า เช่าซื้อ ถือกรรมสิทธิ์ คอรบครอง ปรับปรุง ใช้ และจัดการโดยประการอื่น ซึ่งทรัพย์สินใดๆ,780 ถนนสุขุมวิท  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110
7,0105558199953,บจ.เกรซแลนด์ เขาหลัก จำกัด,30/12/2558," 600,000,000 ",ประกอบกิจการโรงแรม และร้านอาหาร,12 ซอยสุขุมวิท3 ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
8,0105558199317,บจ.มงคลสหทรัพย์ จำกัด,28/12/2558," 368,353,200 ",เป็นเจ้าของซื้อครอบครอง เช่า ให้เช่า ขาย แลกเปลี่ยน บริหารจัดการซึ่งสังหาริมทรัพย์ อสังหาริมทรัพย์,3199 อาคารมาลีนนท์ ชั้น 29 ถนนพระราม 4  แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110
9,0105558194030,บจ.มิตรผล ไบโอฟูเอล (กุฉินารายณ์) จำกัด,15/12/2558," 350,000,000 ",ประกอบกิจการผลิต ซื้อขาย แลกเปลี่ยน รับจ้าง หรือกระทำด้วยประการอื่นซึ่งเอทานอล และสารแปรรูปอื่นๆ,2 อาคารเพลินจิตเซ็นเตอร์ ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
10,0105558190441,บจ.แอ๊บโซลูท คลีน เอ็นเนอร์จี้ จำกัด,3/12/2558," 300,500,000 ",ผลิตและจำหน่ายกระแสไฟฟ้าจากระบบผลิตไฟฟ้าด้วยเซลล์แสงอาทิตย์,140/6 อาคารไอทีเอฟ ทาวเวอร์ ชั้นที่ 7 ถนนสีลม  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500
11,0105558195451,บจ.เอกตะวัน จำกัด,18/12/2558," 244,408,000 ",ประกอบธุรกิจเพื่อลงทุน พัฒนา และบริหารจัดการอสังหาริมทรัพย์ ที่ดิน และสิงปลูกสร้าง รวมถึงการซื้อ ขาย,237-237/1-4 ถนนหลานหลวง  แขวงวัดโสมนัส เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
12,0105558195460,บจ.ทวิภูตะวัน จำกัด,18/12/2558," 217,632,000 ",ประกอบธุรกิจเพื่อลงทุน พัฒนา และบริหารจัดการอสังหาริมทรัพย์ ที่ดิน และสิงปลูกสร้าง รวมถึงการซื้อ ขาย,237-237/1-4 ถนนหลานหลวง  แขวงวัดโสมนัส เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
13,0105558198621,บจ.มุก แอนด์ มอร์ จำกัด,25/12/2558," 169,815,000 ",ประกอบกิจการขาย และให้เช่า อสังหาริมทรัพย์,591 ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
14,0105558199325,บจ.ประสบโชคนิรันดร์ จำกัด,28/12/2558," 157,853,680 ",เป็นเจ้าของ ซื้อ ครอบครอง ให้เช่า ขาย แลกเปลี่ยน และบริหารจัดการประการใดๆ ซึ่งอสังหาริมทรัพย์ทุกชนิด,3199 อาคารมาลีนนท์ ชั้น 29 ถนนพระรามที่ 4  แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110
15,0105558197535,บจ.ปาร์ค มิลล์ จำกัด,23/12/2558," 150,000,000 ",ซื้อ จัดหา รับ เช่า เช่าซื้อ ถือกรรมสิทธิ์ ครอบครอง ปรับปรุง ใช้และจัดการโดยประการอื่นซึ่งทรัพย์สินใ,75/11 หมู่บ้านแกรนด์คริสตัล ถนนประดิษฐ์มนูธรรม  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230
16,0105558198248,บจ.เอ็มดับบลิวโอ 3 จำกัด,24/12/2558," 140,000,000 ",พัฒนาอสังหาริมทรัพย์,9/112 อาคารยูเอ็มทาวเวอร์ ชั้นที่ 11 ถนนรามคำแหง  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
17,0105558198698,บจ.เอ็ม แอนด์ วี โฮม จำกัด,25/12/2558," 124,176,100 ",ประกอบกิจการค้าที่ดิน จัดสรรที่ดินและบ้าน การจัดหาที่ดิน และสิ่งก่อสร้าง,668 ซอยอ่อนนุช 17  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
18,0105558192533,บจ.อาร์แอนด์พี แอสเซท ดีเวลลอปเมนท์ จำกัด,9/12/2558," 111,000,000 ",ประกอบกิจการเข้าเป็นผู้ถือหุ้นในบริษัทจำกัด,82/21-22 หมู่ที่ 6  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210
19,0105558195869,บจ.เอสเคพร็อพเพอร์ตี้ 2 จำกัด,18/12/2558," 106,306,000 ",ประกอบธุรกิจเพื่อลงทุน พัฒนา และบริหารจัดการอสังหาริมทรัพย์ ที่ดินและสิ่งปลูกสร้าง รวมถึงการซื้อ ขาย,237-237/1-4 ถนนหลานหลวง  แขวงวัดโสมนัส เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
20,0105558199929,บจ.วายจี ฟู้ดส์ เอเชีย จำกัด,30/12/2558," 100,000,000 ",ประกอบกิจการร้านอาหาร ภัตตรคาร ผับบาร์ ไนต์คลับ โรงมหรสพอื่นเพื่อขายเครื่องดื่มและเครื่องบริโภค,140 อาคารวัน แปซิฟิค เพลส ชั้นที่17 ยูนิต1703-1704 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
21,0105558197659,บจ.เอสเอ็นซี (2015) จำกัด,23/12/2558," 100,000,000 ",ซื้อ จัดหา รับ เช่า เช่าซื้อ ถือกรรมสิทธิ์ ครอบครอง ปรับปรุง ใช้ และจัดการโดยประการอื่น ซื่งทรัพย์สิ,780 ถนนสุขุมวิท  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110
22,0105558193076,บจ.แสงรุ่งวัฒนา จำกัด,11/12/2558," 100,000,000 ",ประกอบกิจการเม็ดพลาสติก พลาสติก หรือสิ่งอื่นซึ่งมีลักษณะคล้ายคลึงกัน,440 ถนนบางขุนเทียน-ชายทะเล  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
