Code,Description
A,เกษตรกรรม การป่าไม้ และการประมง
B,การทำเหมืองแร่ และเหมืองหิน
C,การผลิต
D,ไฟฟ้า ก๊าซ ไอน้ำ และระบบการปรับอากาศ
E,การจัดหาน้ำการจัดการน้ำเสียและของเสียรวมถึงกิจกรรมที่เกี่ยวข้อง
F,การก่อสร้าง
G,การขายส่งและการขายปลีกการซ่อมยานยนต์และจักรยานยนต์
H,การขนส่งและสถานที่เก็บสินค้า
I,ที่พักแรมและบริการด้านอาหาร
J,ข้อมูลข่าวสารและการสื่อสาร 
K,กิจกรรมทางการเงินและการประกันภัย
L,กิจกรรมเกี่ยวกับอสังหาริมทรัพย์
M,กิจกรรมวิชาชีพวิทยาศาสตร์และกิจกรรมทางวิชาการ
N,กิจกรรมการบริหารและบริการสนับสนุน 
O,การบริหารราชการ การป้องกันประเทศและการประกันสังคมภาคบังคับ
P,การศึกษา
Q,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์
R,ศิลปะ ความบันเทิงและนันทนาการ
S,กิจกรรมการบริการด้านอื่นๆ
T,กิจกรรมการจ้างงานในครัวเรือน กิจกรรมการผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน
U,กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก
